Ticket,Open Time,Type,Volume,Item,Inicio,SL,TP,Close Time,Fin,Commission,Taxes,Swap,Profit
23851379,2019.05.10 00:31:00,buy,0.03,eurusd,1.12213,1.11959,0,2019.05.10 06:24:34,1.12283,0,0,0,2.1
23851361,2019.05.10 00:30:36,buy,0.03,eurusd,1.12215,1.11949,0,2019.05.10 06:25:25,1.12274,0,0,0,1.77
23793354,2019.05.08 14:25:05,buy,0.01,gbpusd,1.30097,0,0,2019.05.10 06:29:47,1.30151,0,0,-0.08,0.54
23832094,2019.05.09 15:25:03,buy,0.02,cadjpy,81.465,0,0,2019.05.10 14:08:11,81.536,0,0,0.01,1.3
23832071,2019.05.09 15:24:41,sell,0.02,euraud,1.60453,0,0,2019.05.10 15:31:28,1.60493,0,0,0.05,-0.56
23796141,2019.05.08 15:39:37,sell,0.02,eurgbp,0.86031,0,0,2019.05.10 15:31:34,0.86317,0,0,0.03,-7.45
23762141,2019.05.07 21:49:37,buy,0.02,nzdusd,0.66026,0,0,2019.05.10 15:31:45,0.65993,0,0,0.01,-0.66
23758871,2019.05.07 19:52:23,buy,0.02,chfjpy,108.089,0,0,2019.05.10 15:32:02,108.344,0,0,-0.41,4.65
23767638,2019.05.08 00:48:01,sell,0.02,usdcad,1.34685,0,0,2019.05.10 15:32:24,1.34145,0,0,0.01,8.05
23859516,2019.05.10 06:23:38,sell,0.03,usdcad,1.34617,0,0,2019.05.10 15:33:14,1.34184,0,0,0,9.68
23843567,2019.05.09 18:35:37,buy,0.03,eurusd,1.1235,1.11843,0,2019.05.10 15:51:00,1.12403,0,0,-0.13,1.59
23843593,2019.05.09 18:36:07,buy,0.03,eurusd,1.12345,1.11848,0,2019.05.10 15:51:51,1.12394,0,0,-0.13,1.47
23844229,2019.05.09 19:07:59,buy,0.01,eurusd,1.12326,0,0,2019.05.10 15:52:41,1.12402,0,0,-0.04,0.76
23890420,2019.05.13 06:49:57,sell,0.02,euraud,1.60963,0,0,2019.05.13 15:15:44,1.61333,0,0,0,-5.16
23888733,2019.05.13 04:39:18,sell,0.03,usdchf,1.01058,0,0,2019.05.13 15:55:54,1.00684,0,0,0,11.14
23843550,2019.05.09 18:34:58,buy,0.03,eurusd,1.1235,1.11853,0,2019.05.13 15:56:27,1.12572,0,0,-0.26,6.66
23844227,2019.05.09 19:07:49,buy,0.01,eurusd,1.12327,0,0,2019.05.13 16:00:43,1.12548,0,0,-0.08,2.21
23793362,2019.05.08 14:25:23,buy,0.01,gbpusd,1.3009,0,0,2019.05.13 16:00:57,1.30295,0,0,-0.1,2.05
23859635,2019.05.10 06:30:06,buy,0.03,gbpusd,1.3019,0,0,2019.05.13 16:01:19,1.30305,0,0,-0.06,3.45
23859480,2019.05.10 06:22:41,buy,0.03,audusd,0.70031,0.69496,0,2019.05.13 18:03:57,0.69496,0,0,0.01,-16.05
23905426,2019.05.13 16:13:03,buy,0.03,audusd,0.69744,0.69495,0,2019.05.13 18:03:58,0.69494,0,0,0,-7.5
23888716,2019.05.13 04:38:56,sell,0.03,usdcad,1.34311,1.34608,0,2019.05.13 18:11:25,1.34608,0,0,0,-6.62
23859492,2019.05.10 06:23:01,buy,0.03,usdjpy,109.869,108.33,0,2019.05.13 18:43:49,109.104,0,0,0.05,-21.03
23906177,2019.05.13 16:27:31,sell,0.01,usdcad,1.34262,0,0,2019.05.13 18:45:18,1.34749,0,0,0,-3.61
23906044,2019.05.13 16:24:42,buy,0.01,nzdusd,0.65925,0,0,2019.05.13 18:45:23,0.65677,0,0,0,-2.48
23905611,2019.05.13 16:16:29,buy,0.01,usdjpy,109.14,0,0,2019.05.13 18:45:30,109.112,0,0,0,-0.26
23905597,2019.05.13 16:16:11,buy,0.01,audusd,0.6974,0,0,2019.05.13 18:45:37,0.69441,0,0,0,-2.99
23768123,2019.05.08 01:07:11,buy,0.01,gbpusd,1.30763,0,0,2019.05.13 18:46:01,1.29533,0,0,-0.1,-12.3
23768135,2019.05.08 01:08:17,buy,0.01,usdjpy,110.289,0,0,2019.05.13 18:46:07,109.104,0,0,0.09,-10.86
23793347,2019.05.08 14:24:46,buy,0.01,audusd,0.70039,0,0,2019.05.13 18:46:12,0.69438,0,0,0.01,-6.01
23874099,2019.05.10 16:22:26,buy,0.01,nzdusd,0.66085,0,0,2019.05.13 18:46:19,0.65684,0,0,0,-4.01
23897536,2019.05.13 13:57:38,buy,0.02,audusd,0.69765,0,0,2019.05.13 20:16:54,0.69406,0,0,0,-7.18
23931172,2019.05.14 07:40:31,sell,0.1,gbpusd,1.29597,1.3,0,2019.05.14 14:23:58,1.29489,0,0,0,10.8
23931167,2019.05.14 07:40:01,sell,0.03,gbpusd,1.29589,1.29558,0,2019.05.14 14:24:45,1.29498,0,0,0,2.73
23931263,2019.05.14 07:44:50,sell,0.03,xauusd,1298.93,1304,0,2019.05.14 14:25:10,1297.07,0,0,0,5.58
23919124,2019.05.13 21:29:48,sell,0.02,xauusd,1299.06,0,0,2019.05.14 14:41:13,1297.64,0,0,0.1,2.84
24011918,2019.05.16 14:03:11,sell,0.02,euraud,1.61784,0,0,2019.05.20 13:30:12,1.61349,0,0,0.08,6.02
24091191,2019.05.21 05:19:03,sell,0.03,usoilspot,63.42,64.07,0,2019.05.21 06:44:23,63.38,0,0,0,1.2
23941355,2019.05.14 15:11:29,sell,0.02,eurchf,1.13102,0,0,2019.05.21 07:52:23,1.12731,0,0,-0.55,7.34
24094420,2019.05.21 07:42:16,buy,0.03,usdcad,1.34303,1.34091,0,2019.05.21 13:52:06,1.34091,0,0,0,-4.74
23897512,2019.05.13 13:57:23,sell,0.02,eurnzd,1.70729,0,0,2019.05.21 16:19:04,1.71479,0,0,0.55,-9.77
24079121,2019.05.20 15:43:44,buy,0.02,eurjpy,122.714,0,0,2019.05.21 17:48:51,123.276,0,0,-0.06,10.17
24121965,2019.05.21 20:47:17,buy,0.03,eurusd,1.11637,1.11345,0,2019.05.22 02:27:11,1.11635,0,0,-0.13,-0.06
23890341,2019.05.13 06:39:32,sell,0.02,usdcad,1.34369,0,0,2019.05.22 08:35:48,1.34113,0,0,0.06,3.82
